State,County,Life Expectancy,Deaths,Years of Potential Life Lost Rate,% Fair or Poor Health,Average Number of Physically Unhealthy Days,Average Number of Mentally Unhealthy Days,% Low Birthweight,% Adults Reporting Currently Smoking,% Adults with Obesity,% With Access to Exercise Opportunities,% Excessive Drinking,# Chlamydia Cases,# Dentists,# Mental Health Providers,# Completed High School,# Unemployed,% Children in Poverty,Average Daily PM2.5,% Severe Housing Problems,# Workers who Drive Alone,% Frequent Mental Distress,% Adults with Diabetes,# Limited Access to Healthy Foods,# Uninsured Adults,# Uninsured Children,Average Grade Performance,Median Household Income,% Less than 18 Years of Age,% 65 and Over
California,San Luis Obispo,81.2,2936,5707,14,3.4,5.1,6,12,31,87,20,974,257,2035,174461,4155,11,7.0,20,129192,16,9,10932,12342,1635,2.9,88578,17.0,22.3
California,San Mateo,84.5,5274,3816,12,2.6,4.2,7,8,21,99,17,2344,846,3408,496219,10964,7,7.0,23,393729,12,9,6605,25279,4053,3.2,143795,19.3,18.3
California,Santa Barbara,81.0,3940,5775,17,3.6,5.1,7,12,30,93,17,1417,406,2923,228191,7829,16,6.8,28,204766,15,10,12215,32147,4655,2.6,89334,21.9,16.7
California,Santa Clara,84.1,12658,3918,12,2.5,4.0,7,7,19,99,15,5054,2392,8150,1197649,27568,7,9.2,22,975427,12,9,17215,63228,8976,3.2,150502,20.3,15.1
California,Santa Cruz,82.1,2489,5285,14,3.4,5.2,6,11,25,98,17,853,239,2513,159830,6388,12,6.5,26,129470,15,9,14218,14457,2137,2.6,99256,18.1,19.1
California,Shasta,74.9,3405,9990,16,3.9,5.6,7,15,31,80,18,528,144,913,118438,3351,16,6.6,21,74304,18,9,12257,9305,1450,2.8,66312,21.5,21.6
California,Siskiyou,81.7,992,11922,18,4.1,6.0,8,16,33,76,16,99,29,229,29099,950,18,5.8,17,15974,17,9,804,129,27,2.7,63939,16.6,31.8
California,Solano,74.3,5349,6744,16,3.7,5.2,7,11,30,97,17,2366,438,2034,277929,8506,12,9.0,20,209755,18,10,5111,2085,322,2.6,51593,19.9,27.8
California,Sonoma,79.4,5300,5764,14,3.4,5.1,6,11,29,93,21,1614,473,2691,316661,7768,9,5.7,22,242102,15,10,15627,18283,3169,2.6,92711,21.7,17.6
California,Stanislaus,81.1,7739,8878,20,4.2,5.5,7,14,35,94,18,2402,390,1439,281704,13141,19,10.6,23,229451,15,8,12493,25963,3814,2.8,96312,18.7,21.9
California,Sutter,76.0,1259,8069,19,3.9,5.4,7,14,32,82,16,211,84,399,51699,3036,18,8.5,19,41767,17,12,17334,35988,5653,2.5,75249,26.5,13.8
California,Tehama,77.5,1215,10874,19,4.3,6.0,6,16,34,58,16,200,41,137,39175,1248,19,5.4,22,24769,17,11,7709,6233,1088,2.5,66071,25.0,16.5
California,Trinity,75.0,315,15509,19,4.4,6.1,6,18,33,89,15,12,5,51,11957,210,24,5.3,21,5176,18,11,6325,3412,605,2.5,58900,23.7,20.4
California,Tulare,73.9,5927,8611,24,4.6,5.3,7,15,36,72,16,2919,273,1540,206452,16943,24,12.9,26,184620,19,11,1057,662,98,2.5,49485,17.4,30.6
California,Tuolumne,76.2,1008,9066,15,3.6,5.6,7,13,30,74,18,104,66,132,38905,887,15,6.8,19,19951,17,14,21739,38406,4865,2.5,64313,29.6,11.8
California,Ventura,77.0,7624,5246,16,3.6,4.9,6,11,27,98,18,3111,815,4000,491708,15220,13,7.9,23,402639,16,9,3411,1993,307,2.7,70108,17.2,28.1
California,Yolo,81.3,1846,5139,16,3.6,5.1,6,11,28,96,18,888,138,961,113474,4408,15,7.7,23,100577,15,10,19017,59710,8065,2.6,101981,21.6,17.5
California,Yuba,80.6,1241,9599,19,4.1,5.7,7,15,34,84,18,333,25,214,42654,1740,19,8.7,19,33422,16,10,5793,10469,1756,2.7,82359,19.5,13.5
,,75.6,,,,,,,,,,,,,,,,,,,,18,11,7852,4457,726,2.6,63626,26.9,13.2
